1653	3616	0
1022	4576	1
434	581	0
1287	1336	0
4818	6066	0
4799	5047	1
4617	2566	0
2769	85	0
107	481	1
7302	470	1
135	693	0
7853	2307	1
2375	6214	0
2121	5378	0
2809	931	0
5294	5889	0
2215	4374	0
1915	2187	0
1391	5262	0
6077	2192	0
2489	1879	1
6733	1672	1
1373	7206	1
6791	2127	1
4181	2033	1
685	2140	0
1473	4424	0
3305	2245	1
4991	4828	0
1153	7397	0
2023	18	1
6585	530	1
1231	4758	0
621	4848	0
1248	1135	1
3767	8045	1
948	5451	0
2941	2228	0
5884	1777	1
5478	113	0
2905	1062	1
2686	4545	0
2266	1190	1
4428	3964	0
3899	6579	0
722	5449	0
4178	1176	1
6715	4514	0
221	8048	0
93	164	1
5694	4271	0
5275	5954	1
2691	7783	0
1639	7574	0
110	1270	1
4517	2842	1
3203	5068	0
789	7875	0
4140	7997	0
1767	5584	0
5206	1428	1
3625	660	0
29	6253	0
1916	2903	1
513	1085	1
152	6273	0
2984	7481	0
2875	808	1
768	5271	0
583	35	1
2165	240	0
966	36	1
1304	1801	1
2330	2628	1
1876	201	1
600	281	0
3876	2594	1
32	3683	0
526	3962	0
522	1952	0
455	8002	1
154	7925	0
8085	185	1
2088	1698	1
44	4493	1
6584	5894	0
787	5386	0
249	1919	0
2043	908	1
2623	1619	0
7525	343	1
2319	7250	0
4454	1728	0
513	36	1
3641	3189	0
1746	7142	1
5655	490	1
8133	1550	1
6363	3700	1
3382	859	1
1453	5014	0
3772	4953	0
2135	7214	0
3305	3953	0
2116	2491	1
76	5645	0
271	2198	1
4167	1391	1
1987	1306	1
4534	1650	0
3466	7891	1
2984	3033	1
618	5467	1
6049	3040	1
2375	6045	0
2019	7155	0
2992	1173	0
4130	203	1
2635	148	1
2022	2329	1
1747	1091	1
1795	948	1
2007	4785	0
5974	2731	0
3315	1165	1
1032	1720	0
799	157	1
3156	1731	0
3963	3031	1
1047	3169	0
5737	5416	0
869	7884	0
3050	1754	0
2135	1673	1
6259	5	0
2227	3715	1
4257	131	0
729	3618	1
1904	1511	1
92	2613	1
6184	248	1
3787	3859	0
5327	4428	0
1127	3881	1
4726	2979	0
1572	754	0
618	2196	1
780	1665	1
1030	2002	1
5122	1126	1
834	3379	0
443	313	1
5850	5752	0
4800	3066	0
824	4412	1
3315	7885	0
3733	689	1
7240	2494	0
1938	2302	1
3696	3515	1
596	557	1
966	4850	1
7971	957	0
3101	2006	1
3300	8010	0
583	3613	1
2077	829	1
7946	5186	0
1135	4582	0
200	1568	0
2201	716	0
6594	2604	0
3338	5373	0
1169	5089	0
1481	2212	1
141	3870	1
1455	139	1
4475	5374	1
3787	478	1
2406	4392	0
4580	1954	0
7348	1672	1
629	697	1
4007	4636	0
393	1869	0
490	8065	1
1039	4019	0
4708	3543	0
3792	7729	0
4883	966	1
556	6214	0
249	4258	1
1300	2749	0
1509	1042	0
675	6203	0
834	4043	0
19	2285	0
2547	4827	0
2127	2335	0
703	76	1
4887	1602	1
4158	4356	1
3986	4904	1
67	3974	1
2114	5337	0
6858	655	0
6403	5672	0
